Rent,Deposit,Furnishing,Size,Preferred Tenants,Available From,Build Up,Area,Parking
5000.0,15000,Unfurnished,1 RK,All,Ready to Move,150 sqft,banashankari,nop
4500.0,40000,Semi Furnished,1 RK,Bachelor,09-Dec-24,160 sqft,banashankari,nop
9000.0,100000,Semi Furnished,1 BHK,All,01-Jan-25,400 sqft,banashankari,nop
11000.0,100000,Semi Furnished,2 BHK,Family,14-Jan-25,600 sqft,banashankari,nop
7500.0,75000,Semi Furnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
5000.0,50000,Unfurnished,1 BHK,All,Ready to Move,300 sqft,banashankari,nop
5000.0,50004,Semi Furnished,1 BHK,All,Ready to Move,325 sqft,banashankari,nop
6500.0,40000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
15000.0,30000,Fully Furnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
3000.0,20000,Unfurnished,1 RK,Family,Ready to Move,250 sqft,banashankari,nop
20000.0,200000,Unfurnished,2 BHK,Family,Ready to Move,"1,000 sqft",banashankari,nop
3500.0,50000,Unfurnished,1 RK,All,Ready to Move,400 sqft,banashankari,nop
8500.0,80000,Unfurnished,1 BHK,Family,Ready to Move,300 sqft,banashankari,nop
6000.0,30000,Unfurnished,1 BHK,Family,10-Dec-24,500 sqft,banashankari,nop
3000.0,25000,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
26000.0,115000,Unfurnished,2 BHK,Family,Ready to Move,"1,200 sqft",banashankari,nop
5500.0,35000,Unfurnished,1 BHK,All,Ready to Move,350 sqft,banashankari,nop
5500.0,40000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
28000.0,300000,Semi Furnished,2 BHK,All,Ready to Move,"1,500 sqft",banashankari,nop
30000.0,300000,Semi Furnished,3 BHK,Family,Ready to Move,800 sqft,banashankari,nop
14000.0,100000,Semi Furnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
10000.0,100000,Unfurnished,2 BHK,Family,Ready to Move,500 sqft,banashankari,nop
4500.0,40000,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
14000.0,130000,Semi Furnished,1 BHK,Family,Ready to Move,800 sqft,banashankari,nop
4500.0,30000,Unfurnished,1 BHK,All,Ready to Move,400 sqft,banashankari,nop
10000.0,100000,Unfurnished,2 BHK,All,15-Dec-24,600 sqft,banashankari,nop
10000.0,100000,Unfurnished,2 BHK,Family,05-Dec-24,"1,000 sqft",banashankari,nop
8000.0,60000,Semi Furnished,1 BHK,All,Ready to Move,600 sqft,banashankari,nop
12000.0,100000,Semi Furnished,2 BHK,Family,Ready to Move,702 sqft,banashankari,nop
11000.0,30000,Semi Furnished,1 RK,Bachelor,Ready to Move,300 sqft,banashankari,nop
3500.0,20000,Semi Furnished,1 RK,Bachelor,Ready to Move,250 sqft,banashankari,nop
6500.0,40000,Unfurnished,1 RK,Bachelor,Ready to Move,300 sqft,banashankari,nop
8000.0,60000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
5500.0,50000,Unfurnished,1 RK,All,Ready to Move,120 sqft,banashankari,nop
8000.0,50000,Unfurnished,2 BHK,Family,Ready to Move,600 sqft,banashankari,nop
3500.0,20000,Unfurnished,1 RK,All,30-Nov-24,250 sqft,banashankari,nop
6000.0,50000,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
6000.0,50000,Unfurnished,1 BHK,Family,01-Jan-25,400 sqft,banashankari,nop
6000.0,60000,Unfurnished,1 RK,Family,Ready to Move,300 sqft,banashankari,nop
6000.0,30000,Unfurnished,1 BHK,Bachelor,Ready to Move,300 sqft,banashankari,nop
8000.0,80000,Unfurnished,1 BHK,All,Ready to Move,225 sqft,banashankari,nop
4500.0,25000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
10000.0,40000,Unfurnished,1 RK,All,Ready to Move,120 sqft,banashankari,nop
4000.0,20000,Unfurnished,1 RK,Family,Ready to Move,180 sqft,banashankari,nop
5500.0,30000,Unfurnished,1 BHK,Family,Ready to Move,300 sqft,banashankari,nop
6000.0,60000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
23000.0,150000,Unfurnished,2 BHK,Family,Ready to Move,"1,200 sqft",banashankari,nop
3000.0,20000,Unfurnished,1 RK,All,Ready to Move,100 sqft,banashankari,nop
7500.0,80000,Unfurnished,1 BHK,Family,20-Jan-25,300 sqft,banashankari,nop
3500.0,30000,Unfurnished,1 RK,All,01-Dec-24,300 sqft,banashankari,nop
14700.0,70000,Semi Furnished,2 BHK,Family,15-Jan-25,800 sqft,banashankari,nop
5000.0,25000,Unfurnished,1 RK,Bachelor,Ready to Move,150 sqft,banashankari,nop
25000.0,200000,Fully Furnished,3 BHK,Family,Ready to Move,"1,100 sqft",banashankari,nop
12000.0,100000,Unfurnished,2 BHK,Family,Ready to Move,"1,000 sqft",banashankari,nop
10000.0,100000,Unfurnished,1 BHK,Bachelor,Ready to Move,400 sqft,banashankari,nop
6000.0,40000,Unfurnished,1 RK,Company,07-Dec-24,300 sqft,banashankari,nop
3300.0,20000,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
4500.0,40000,Unfurnished,1 RK,Family,Ready to Move,200 sqft,banashankari,nop
7000.0,80000,Unfurnished,1 BHK,Family,Ready to Move,300 sqft,banashankari,nop
8000.0,100000,Semi Furnished,1 BHK,All,01-Jan-25,400 sqft,banashankari,nop
8000.0,100000,Unfurnished,2 BHK,All,Ready to Move,600 sqft,banashankari,nop
2500.0,20000,Unfurnished,1 RK,Bachelor,Ready to Move,250 sqft,banashankari,nop
10000.0,30000,Semi Furnished,1 BHK,Bachelor,Ready to Move,510 sqft,banashankari,nop
4000.0,20000,Unfurnished,1 RK,All,Ready to Move,150 sqft,banashankari,nop
7000.0,50000,Semi Furnished,1 BHK,All,Ready to Move,400 sqft,banashankari,nop
5000.0,60000,Semi Furnished,1 BHK,All,01-Jan-25,500 sqft,banashankari,nop
7000.0,50000,Unfurnished,2 BHK,Family,Ready to Move,800 sqft,banashankari,nop
6000.0,30000,Semi Furnished,1 BHK,All,Ready to Move,350 sqft,banashankari,nop
7500.0,50000,Unfurnished,1 BHK,Family,Ready to Move,600 sqft,banashankari,nop
5000.0,50000,Unfurnished,1 RK,All,01-Jan-25,200 sqft,banashankari,nop
6000.0,60000,Semi Furnished,1 BHK,Family,Ready to Move,462 sqft,banashankari,nop
8000.0,30000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
3600.0,25000,Unfurnished,1 RK,All,Ready to Move,300 sqft,banashankari,nop
7000.0,40000,Unfurnished,1 BHK,Family,10-Dec-24,500 sqft,banashankari,nop
10000.0,80000,Unfurnished,2 BHK,Family,15-Dec-24,900 sqft,banashankari,nop
3000.0,15000,Unfurnished,1 RK,Bachelor,Ready to Move,150 sqft,banashankari,nop
8500.0,75000,Unfurnished,1 BHK,Family,05-Dec-24,500 sqft,banashankari,nop
25000.0,200000,Unfurnished,3 BHK,All,Ready to Move,"1,200 sqft",banashankari,nop
5000.0,20000,Unfurnished,1 BHK,All,Ready to Move,400 sqft,banashankari,nop
5000.0,100000,Semi Furnished,1 RK,Family,Ready to Move,250 sqft,banashankari,nop
4800.0,40000,Unfurnished,1 RK,Family,Ready to Move,200 sqft,banashankari,nop
9000.0,50000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
5000.0,40000,Semi Furnished,1 RK,Bachelor,Ready to Move,200 sqft,banashankari,nop
6000.0,60000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
6000.0,50000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
3000.0,20000,Unfurnished,1 RK,All,01-Dec-24,300 sqft,banashankari,nop
4000.0,25000,Unfurnished,1 RK,Bachelor,Ready to Move,100 sqft,banashankari,nop
4000.0,20000,Unfurnished,1 RK,Family,Ready to Move,250 sqft,banashankari,nop
6500.0,25000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
4000.0,40000,Unfurnished,1 BHK,All,Ready to Move,250 sqft,banashankari,nop
7000.0,30000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
3500.0,25000,Unfurnished,1 RK,Family,Ready to Move,150 sqft,banashankari,nop
5000.0,50000,Unfurnished,1 BHK,All,Ready to Move,520 sqft,banashankari,nop
3000.0,20000,Unfurnished,1 RK,All,Ready to Move,150 sqft,banashankari,nop
5500.0,50000,Unfurnished,1 BHK,Family,01-Jan-25,400 sqft,banashankari,nop
6000.0,60000,Unfurnished,1 BHK,Bachelor,Ready to Move,300 sqft,banashankari,nop
4000.0,40000,Unfurnished,1 RK,All,Ready to Move,250 sqft,banashankari,nop
3000.0,15000,Unfurnished,1 RK,Family,Ready to Move,250 sqft,banashankari,nop
5000.0,30000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
6000.0,40000,Unfurnished,1 BHK,All,Ready to Move,600 sqft,banashankari,nop
6499.0,40000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
7500.0,50000,Unfurnished,1 BHK,All,Ready to Move,300 sqft,banashankari,nop
10000.0,75000,Unfurnished,2 BHK,Family,Ready to Move,600 sqft,banashankari,nop
10000.0,100000,Semi Furnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
9000.0,90000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
7000.0,50000,Unfurnished,1 BHK,Family,30-Dec-24,352 sqft,banashankari,nop
25000.0,200000,Semi Furnished,2 BHK,All,Ready to Move,800 sqft,banashankari,nop
15000.0,150000,Semi Furnished,2 BHK,All,Ready to Move,900 sqft,banashankari,nop
4500.0,25000,Semi Furnished,1 RK,All,Ready to Move,400 sqft,banashankari,nop
8000.0,75000,Unfurnished,2 BHK,Family,Ready to Move,600 sqft,banashankari,nop
8000.0,100000,Semi Furnished,1 BHK,Family,01-Jan-25,350 sqft,banashankari,nop
10000.0,100000,Semi Furnished,2 BHK,Bachelor,Ready to Move,690 sqft,banashankari,nop
8000.0,100000,Unfurnished,1 RK,Family,Ready to Move,450 sqft,banashankari,nop
7000.0,50000,Unfurnished,1 BHK,Family,Ready to Move,350 sqft,banashankari,nop
8000.0,200000,Semi Furnished,2 BHK,All,Ready to Move,800 sqft,banashankari,nop
4500.0,40000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
22000.0,200000,Semi Furnished,2 BHK,Family,Ready to Move,"1,200 sqft",banashankari,nop
8500.0,100000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
26000.0,150000,Semi Furnished,2 BHK,Family,Ready to Move,900 sqft,banashankari,nop
10000.0,60000,Unfurnished,1 RK,Family,Ready to Move,300 sqft,banashankari,nop
6000.0,50000,Unfurnished,1 RK,Bachelor,Ready to Move,150 sqft,banashankari,nop
8000.0,80000,Unfurnished,1 BHK,Family,Ready to Move,600 sqft,banashankari,nop
4500.0,25000,Unfurnished,1 RK,All,Ready to Move,150 sqft,banashankari,nop
7500.0,75000,Semi Furnished,1 BHK,Family,Ready to Move,350 sqft,banashankari,nop
4500.0,30000,Unfurnished,1 BHK,All,Ready to Move,600 sqft,banashankari,nop
4000.0,20000,Unfurnished,1 RK,Family,Ready to Move,300 sqft,banashankari,nop
3000.0,30000,Unfurnished,1 RK,Family,Ready to Move,250 sqft,banashankari,nop
10000.0,100000,Unfurnished,2 BHK,All,Ready to Move,800 sqft,banashankari,nop
9000.0,90000,Unfurnished,2 BHK,Family,Ready to Move,650 sqft,banashankari,nop
7000.0,25000,Unfurnished,1 RK,All,Ready to Move,250 sqft,banashankari,nop
5000.0,40000,Unfurnished,1 RK,Family,Ready to Move,250 sqft,banashankari,nop
13000.0,99998,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
5500.0,50000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
12000.0,120000,Semi Furnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
5000.0,10000,Unfurnished,1 RK,All,Ready to Move,250 sqft,banashankari,nop
5000.0,40000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
15000.0,100000,Unfurnished,1 BHK,Family,30-Nov-24,400 sqft,banashankari,nop
15500.0,90000,Unfurnished,1 BHK,Family,Ready to Move,950 sqft,banashankari,nop
6000.0,50000,Unfurnished,1 RK,Bachelor,Ready to Move,250 sqft,banashankari,nop
5500.0,25000,Semi Furnished,1 RK,Bachelor,Ready to Move,200 sqft,banashankari,nop
4000.0,40000,Unfurnished,1 BHK,All,Ready to Move,450 sqft,banashankari,nop
10000.0,50000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
8000.0,50000,Unfurnished,1 BHK,All,Ready to Move,450 sqft,banashankari,nop
7500.0,50000,Unfurnished,1 BHK,Family,Ready to Move,300 sqft,banashankari,nop
3500.0,19998,Unfurnished,1 RK,All,Ready to Move,400 sqft,banashankari,nop
6000.0,50000,Unfurnished,1 BHK,All,Ready to Move,320 sqft,banashankari,nop
6500.0,35000,Semi Furnished,1 BHK,All,Ready to Move,600 sqft,banashankari,nop
48000.0,450000,Fully Furnished,2 BHK,All,29-Nov-24,"1,200 sqft",banashankari,nop
10000.0,100000,Unfurnished,1 BHK,Bachelor,Ready to Move,600 sqft,banashankari,nop
17000.0,200000,Semi Furnished,1 BHK,Family,Ready to Move,720 sqft,banashankari,nop
8500.0,50000,Semi Furnished,1 BHK,All,Ready to Move,500 sqft,banashankari,nop
5000.0,40000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
5500.0,25000,Unfurnished,1 RK,Bachelor,Ready to Move,250 sqft,banashankari,nop
25000.0,300000,Fully Furnished,2 BHK,Family,Ready to Move,800 sqft,banashankari,nop
4000.0,40000,Unfurnished,1 BHK,All,Ready to Move,400 sqft,banashankari,nop
30000.0,180000,Unfurnished,1 RK,All,Ready to Move,800 sqft,banashankari,nop
9500.0,95000,Unfurnished,1 BHK,Family,10-Dec-24,450 sqft,banashankari,nop
6500.0,40000,Unfurnished,1 BHK,Family,Ready to Move,300 sqft,banashankari,nop
12500.0,150000,Semi Furnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
12000.0,100000,Semi Furnished,1 BHK,All,15-Jan-25,600 sqft,banashankari,nop
13000.0,80000,Semi Furnished,2 BHK,All,Ready to Move,"1,200 sqft",banashankari,nop
15000.0,150000,Semi Furnished,2 BHK,All,10-Dec-24,700 sqft,banashankari,nop
6000.0,30000,Unfurnished,1 RK,All,Ready to Move,220 sqft,banashankari,nop
7500.0,50000,Unfurnished,1 BHK,All,01-Jan-25,300 sqft,banashankari,nop
4500.0,45000,Unfurnished,1 RK,All,Ready to Move,300 sqft,banashankari,nop
8000.0,50000,Unfurnished,1 BHK,All,30-Dec-24,550 sqft,banashankari,nop
9000.0,70000,Unfurnished,2 BHK,Bachelor,01-Jan-25,800 sqft,banashankari,nop
4000.0,20000,Unfurnished,1 RK,All,Ready to Move,180 sqft,banashankari,nop
7500.0,70000,Unfurnished,1 BHK,Family,10-Dec-24,450 sqft,banashankari,nop
12000.0,100000,Unfurnished,2 BHK,Family,01-Dec-24,850 sqft,banashankari,nop
16000.0,200000,Semi Furnished,2 BHK,Family,Ready to Move,"1,000 sqft",banashankari,nop
38000.0,300000,Semi Furnished,2 BHK,Family,29-Nov-24,"1,600 sqft",banashankari,nop
8500.0,100000,Unfurnished,1 BHK,Family,Ready to Move,450 sqft,banashankari,nop
22000.0,100000,Semi Furnished,3 BHK,Family,Ready to Move,900 sqft,banashankari,nop
16000.0,100000,Semi Furnished,3 BHK,All,Ready to Move,"1,000 sqft",banashankari,nop
7000.0,50000,Semi Furnished,1 BHK,All,01-Jan-25,500 sqft,banashankari,nop
6000.0,50000,Unfurnished,1 BHK,Bachelor,Ready to Move,500 sqft,banashankari,nop
5000.0,25000,Unfurnished,1 RK,All,Ready to Move,500 sqft,banashankari,nop
7000.0,30000,Semi Furnished,1 RK,Bachelor,Ready to Move,150 sqft,banashankari,nop
14000.0,150000,Unfurnished,1 RK,Family,Ready to Move,200 sqft,banashankari,nop
5500.0,40000,Unfurnished,1 BHK,Family,Ready to Move,300 sqft,banashankari,nop
6500.0,100000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
8000.0,70000,Semi Furnished,1 BHK,All,Ready to Move,550 sqft,banashankari,nop
15000.0,200000,Unfurnished,2 BHK,All,Ready to Move,"1,000 sqft",banashankari,nop
5000.0,20000,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,nop
7000.0,100000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,nop
35000.0,400000,Semi Furnished,3 BHK,All,Ready to Move,"1,900 sqft",banashankari,nop
8000.0,50000,Unfurnished,1 BHK,All,10-Dec-24,500 sqft,banashankari,nop
12500.0,100000,Unfurnished,2 BHK,Family,Ready to Move,675 sqft,banashankari,nop
6500.0,50000,Unfurnished,1 BHK,All,30-Nov-24,500 sqft,banashankari,nop
7000.0,70000,Unfurnished,1 BHK,All,Ready to Move,400 sqft,banashankari,nop
5000.0,50000,Unfurnished,1 RK,Family,Ready to Move,250 sqft,banashankari,nop
8000.0,50000,Unfurnished,1 BHK,Family,Ready to Move,300 sqft,banashankari,nop
20000.0,120000,Semi Furnished,2 BHK,Family,Ready to Move,"1,200 sqft",banashankari,nop
9000.0,100000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,nop
20000.0,200000,Semi Furnished,2 BHK,Family,Ready to Move,"1,100 sqft",banashankari,nop
4500.0,45000,Semi Furnished,1 RK,Family,Ready to Move,150 sqft,banashankari,nop
8000.0,50000,Unfurnished,1 RK,All,01-Dec-24,250 sqft,banashankari,nop
10050.0,80000,Fully Furnished,1 BHK,All,Ready to Move,450 sqft,banashankari,2w
10000.0,60000,Semi Furnished,2 BHK,All,01-Dec-24,550 sqft,banashankari,2w
10000.0,100000,Unfurnished,2 BHK,"Family, Bachelor",Ready to Move,550 sqft,banashankari,2w
41200.0,300000,Semi Furnished,3 BHK,"Family, Company",01-Jan-25,"1,460 sqft",banashankari,2w
6000.0,40000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,2w
17000.0,160000,Semi Furnished,2 BHK,All,30-Nov-24,600 sqft,banashankari,2w
10500.0,30000,Semi Furnished,1 BHK,Male,Ready to Move,510 sqft,banashankari,2w
8000.0,80000,Semi Furnished,1 BHK,All,Ready to Move,700 sqft,banashankari,2w
28000.0,300000,Semi Furnished,2 BHK,Family,Ready to Move,"1,350 sqft",banashankari,2w
20800.0,150000,Semi Furnished,2 BHK,Family,Ready to Move,"1,200 sqft",banashankari,2w
5500.0,35000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,2w
12500.0,100000,Semi Furnished,2 BHK,Family,28-Nov-24,650 sqft,banashankari,2w
11000.0,110000,Semi Furnished,1 BHK,Female,Ready to Move,800 sqft,banashankari,2w
25000.0,150000,Semi Furnished,2 BHK,All,28-Nov-24,"1,100 sqft",banashankari,2w
14000.0,84000,Unfurnished,1 BHK,Family,Ready to Move,"1,000 sqft",banashankari,2w
11500.0,110000,Fully Furnished,1 BHK,"Family, Bachelor",Ready to Move,450 sqft,banashankari,2w
3000.0,20000,Unfurnished,1 RK,Bachelor,Ready to Move,300 sqft,banashankari,2w
9500.0,95000,Semi Furnished,1 BHK,Family,Ready to Move,800 sqft,banashankari,2w
16500.0,165000,Unfurnished,2 BHK,Family,20-Jan-25,800 sqft,banashankari,2w
17500.0,1,Unfurnished,2 BHK,All,Ready to Move,800 sqft,banashankari,2w
7000.0,30000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,2w
4500.0,30000,Unfurnished,1 RK,All,Ready to Move,600 sqft,banashankari,2w
10000.0,80000,Unfurnished,1 BHK,Company,Ready to Move,750 sqft,banashankari,2w
8000.0,50000,Semi Furnished,2 BHK,"Family, Company",Ready to Move,600 sqft,banashankari,2w
12000.0,100000,Semi Furnished,2 BHK,All,Ready to Move,750 sqft,banashankari,2w
5000.0,50000,Unfurnished,1 BHK,Family,Ready to Move,350 sqft,banashankari,2w
20000.0,200000,Unfurnished,2 BHK,Family,26-Jan-25,600 sqft,banashankari,2w
17001.0,100000,Semi Furnished,3 BHK,Family,Ready to Move,900 sqft,banashankari,2w
8000.0,70000,Semi Furnished,1 BHK,Family,Ready to Move,600 sqft,banashankari,2w
8000.0,25000,Unfurnished,1 RK,Bachelor,Ready to Move,150 sqft,banashankari,2w
12000.0,100000,Semi Furnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,2w
4000.0,30000,Unfurnished,1 RK,All,Ready to Move,200 sqft,banashankari,2w
8500.0,75000,Fully Furnished,1 BHK,All,Ready to Move,600 sqft,banashankari,2w
20000.0,100000,Semi Furnished,2 BHK,Family,Ready to Move,700 sqft,banashankari,2w
21000.0,200000,Semi Furnished,2 BHK,All,Ready to Move,950 sqft,banashankari,2w
10000.0,100000,Semi Furnished,2 BHK,Family,Ready to Move,850 sqft,banashankari,2w
9500.0,100000,Semi Furnished,1 BHK,Family,30-Nov-24,700 sqft,banashankari,2w
15500.0,100000,Semi Furnished,2 BHK,"Family, Female",Ready to Move,600 sqft,banashankari,2w
20250.0,150000,Semi Furnished,2 BHK,Family,Ready to Move,"1,200 sqft",banashankari,2w
10000.0,60000,Unfurnished,2 BHK,Family,Ready to Move,800 sqft,banashankari,2w
10000.0,50000,Unfurnished,2 BHK,Family,Ready to Move,600 sqft,banashankari,2w
3500.0,35000,Semi Furnished,1 RK,Bachelor,Ready to Move,200 sqft,banashankari,2w
17500.0,150000,Fully Furnished,2 BHK,Family,Ready to Move,700 sqft,banashankari,2w
10800.0,80000,Unfurnished,2 BHK,All,Ready to Move,500 sqft,banashankari,2w
4500.0,30000,Unfurnished,1 RK,All,Ready to Move,300 sqft,banashankari,2w
12000.0,70000,Semi Furnished,1 RK,"Family, Bachelor",Ready to Move,350 sqft,banashankari,2w
14000.0,200000,Semi Furnished,2 BHK,Family,Ready to Move,800 sqft,banashankari,2w
25000.0,250000,Semi Furnished,3 BHK,All,Ready to Move,"2,200 sqft",banashankari,2w
19600.0,190000,Semi Furnished,2 BHK,Family,Ready to Move,"1,000 sqft",banashankari,2w
9000.0,100000,Unfurnished,1 BHK,All,Ready to Move,500 sqft,banashankari,2w
8000.0,40000,Semi Furnished,1 BHK,Family,Ready to Move,600 sqft,banashankari,2w
12000.0,100000,Semi Furnished,2 BHK,Family,Ready to Move,750 sqft,banashankari,2w
8000.0,60000,Unfurnished,1 BHK,Family,05-Dec-24,500 sqft,banashankari,2w
9000.0,70000,Semi Furnished,1 BHK,Family,16-Dec-24,500 sqft,banashankari,2w
13000.0,150000,Unfurnished,2 BHK,Family,Ready to Move,850 sqft,banashankari,2w
18000.0,200000,Unfurnished,2 BHK,Family,Ready to Move,"1,100 sqft",banashankari,2w
6000.0,30000,Unfurnished,1 BHK,Family,Ready to Move,675 sqft,banashankari,2w
10000.0,60000,Semi Furnished,1 RK,Bachelor,Ready to Move,450 sqft,banashankari,2w
5500.0,50000,Unfurnished,1 RK,Bachelor,Ready to Move,400 sqft,banashankari,2w
7000.0,60000,Unfurnished,1 BHK,Bachelor,Ready to Move,600 sqft,banashankari,2w
30000.0,240000,Semi Furnished,3 BHK,Family,Ready to Move,"1,200 sqft",banashankari,2w
6000.0,50000,Semi Furnished,1 BHK,All,10-Dec-24,550 sqft,banashankari,2w
14000.0,100000,Semi Furnished,2 BHK,All,Ready to Move,600 sqft,banashankari,2w
4500.0,20000,Semi Furnished,1 RK,Male,Ready to Move,500 sqft,banashankari,2w
20000.0,250000,Semi Furnished,2 BHK,All,Ready to Move,"1,200 sqft",banashankari,2w
24200.0,250000,Semi Furnished,3 BHK,Family,Ready to Move,900 sqft,banashankari,2w
4000.0,40000,Unfurnished,1 RK,Family,Ready to Move,200 sqft,banashankari,2w
8000.0,25000,Semi Furnished,1 BHK,All,10-Dec-24,300 sqft,banashankari,2w
9000.0,90000,Fully Furnished,1 RK,"Family, Bachelor",Ready to Move,400 sqft,banashankari,2w
7000.0,50000,Unfurnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,2w
8000.0,100000,Semi Furnished,1 BHK,Family,Ready to Move,400 sqft,banashankari,2w
7500.0,75000,Semi Furnished,1 BHK,All,Ready to Move,400 sqft,banashankari,2w
7000.0,70000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,2w
5000.0,50000,Semi Furnished,1 RK,Bachelor,Ready to Move,120 sqft,banashankari,2w
4500.0,20000,Semi Furnished,1 BHK,All,Ready to Move,400 sqft,banashankari,2w
8000.0,70000,Semi Furnished,1 BHK,All,Ready to Move,500 sqft,banashankari,2w
13000.0,80000,Semi Furnished,2 BHK,All,Ready to Move,700 sqft,banashankari,2w
7000.0,35000,Semi Furnished,1 BHK,All,Ready to Move,500 sqft,banashankari,2w
11000.0,80000,Unfurnished,2 BHK,Family,Ready to Move,650 sqft,banashankari,2w
12000.0,100000,Unfurnished,2 BHK,Family,Ready to Move,600 sqft,banashankari,2w
18000.0,150000,Semi Furnished,2 BHK,Family,Ready to Move,700 sqft,banashankari,2w
3000.0,20000,Unfurnished,1 BHK,All,Ready to Move,600 sqft,banashankari,2w
13000.0,100000,Fully Furnished,2 BHK,Family,01-Dec-24,603 sqft,banashankari,2w
19000.0,190000,Semi Furnished,2 BHK,Family,Ready to Move,"1,050 sqft",banashankari,2w
5500.0,50000,Semi Furnished,1 RK,Bachelor,Ready to Move,131 sqft,banashankari,2w
5000.0,30000,Unfurnished,1 BHK,Family,Ready to Move,500 sqft,banashankari,2w
12000.0,150000,Semi Furnished,1 BHK,Family,Ready to Move,450 sqft,banashankari,2w
8500.0,40000,Unfurnished,1 BHK,All,Ready to Move,600 sqft,banashankari,2w
8500.0,50000,Semi Furnished,1 BHK,Family,01-Dec-24,600 sqft,banashankari,2w
12500.0,70000,Semi Furnished,1 BHK,Family,Ready to Move,650 sqft,banashankari,2w
7500.0,75000,Unfurnished,1 BHK,Family,Ready to Move,300 sqft,banashankari,2w
15000.0,150000,Semi Furnished,2 BHK,All,Ready to Move,880 sqft,banashankari,2w
5000.0,40000,Unfurnished,1 RK,All,Ready to Move,300 sqft,banashankari,2w
13000.0,130000,Semi Furnished,2 BHK,Family,Ready to Move,630 sqft,banashankari,2w
12500.0,100000,Unfurnished,2 BHK,All,Ready to Move,580 sqft,banashankari,2w
20000.0,200000,Unfurnished,3 BHK,Family,Ready to Move,"1,500 sqft",banashankari,2w
6500.0,65000,Unfurnished,1 RK,All,Ready to Move,300 sqft,banashankari,2w
15000.0,150000,Semi Furnished,2 BHK,All,Ready to Move,"1,200 sqft",banashankari,2w
5000.0,30000,Unfurnished,1 RK,Family,Ready to Move,100 sqft,banashankari,2w
19000.0,100000,Unfurnished,1 BHK,All,Ready to Move,"1,500 sqft",banashankari,2w
10000.0,80000,Unfurnished,2 BHK,All,Ready to Move,500 sqft,banashankari,2w
5500.0,30000,Semi Furnished,1 RK,All,Ready to Move,360 sqft,banashankari,2w
7000.0,50000,Unfurnished,1 RK,All,Ready to Move,250 sqft,banashankari,2w
9000.0,90000,Semi Furnished,1 BHK,Company,Ready to Move,400 sqft,banashankari,2w
10000.0,69997,Unfurnished,2 BHK,All,Ready to Move,900 sqft,banashankari,2w
14000.0,100000,Semi Furnished,2 BHK,All,15-Dec-24,600 sqft,banashankari,2w
15000.0,150000,Semi Furnished,2 BHK,Family,Ready to Move,600 sqft,banashankari,2w
